giraffe	African animals	0.98357	4
elephant	African animals	0.97414	4
gorilla	African animals	0.97607	4
hyena	African animals	0.98375	4
giraffe	African safari animals	0.98215	5
camel	African safari animals	0.91504	5
lion	African safari animals	0.97069	5
zebra	African safari animals	0.95395	5
hyena	African safari animals	0.98895	5
giraffe	African wildlife animals	0.96763	5
gorilla	African wildlife animals	0.95114	5
hyena	African wildlife animals	0.97318	5
elephant	African wildlife animals	0.95809	5
zebra	African wildlife animals	0.89613	5
seal	Arctic animals	0.81383	3
caribou	Arctic animals	0.98850	3
walrus	Arctic animals	0.98909	3
beaver	North American wildlife	0.98096	13
raccoon	North American wildlife	0.97696	13
bear	North American wildlife	0.98367	13
elk	North American wildlife	0.99248	13
caribou	North American wildlife	0.99264	13
gopher	North American wildlife	0.86941	13
deer	North American wildlife	0.99288	13
hare	North American wildlife	0.87607	13
groundhog	North American wildlife	0.90822	13
bison	North American wildlife	0.99234	13
fox	North American wildlife	0.95058	13
moose	North American wildlife	0.99314	13
coyote	North American wildlife	0.97848	13
caribou	North American wildlife animals	0.98100	14
cougar	North American wildlife animals	0.93956	14
coyote	North American wildlife animals	0.93090	14
raccoon	North American wildlife animals	0.93340	14
moose	North American wildlife animals	0.97864	14
fox	North American wildlife animals	0.90524	14
beaver	North American wildlife animals	0.94561	14
groundhog	North American wildlife animals	0.87743	14
bear	North American wildlife animals	0.94003	14
elk	North American wildlife animals	0.98248	14
deer	North American wildlife animals	0.98303	14
hare	North American wildlife animals	0.83898	14
gopher	North American wildlife animals	0.82270	14
bison	North American wildlife animals	0.98162	14
lantern	Used for camping	0.88102	2
tent	Used for camping	0.99727	2
stove	Used for cooking a meal	0.98708	3
skillet	Used for cooking a meal	0.96977	3
pan	Used for cooking a meal	0.95277	3
pencil	Used for drawing	0.99218	2
crayon	Used for drawing	0.99401	2
saddle	Used for horseback riding	0.99699	3
donkey	Used for horseback riding	0.93418	3
whip	Used for horseback riding	0.84350	3
guitar	Used for playing music	0.98744	2
harmonica	Used for playing music	0.95176	2
